date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:08:25	1249/1249	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202022%2014:43:59%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon6n.svg	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon6n.svg	(from https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css)
18:08:26	1099/1099	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202022%2014:44:04%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon7.svg	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon7.svg	(from https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css)
18:08:26	1072/1072	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202022%2014:44:09%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon7n.svg	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon7n.svg	(from https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css)
18:08:26	1072/1072	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202022%2014:44:14%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon8.svg	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon8.svg	(from https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css)
18:08:26	797/797	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202022%2014:44:19%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon9.svg	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon9.svg	(from https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css)
18:08:27	1059/1059	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202022%2014:42:23%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon11.svg	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon11.svg	(from https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css)
18:08:27	1155/1155	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202022%2014:42:28%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon13.svg	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon13.svg	(from https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css)
18:08:27	780/780	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202022%2014:42:33%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon15.svg	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon15.svg	(from https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css)
18:08:28	3420/3420	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202022%2017:30:21%20GMT	http://s3.glbimg.com/v1/AUTH_e1b09a2d222b4900a437a46914be81e5/web/settings/stable/settings.min.js	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_e1b09a2d222b4900a437a46914be81e5/web/settings/stable/settings.min.js	(from https://p.glbimg.com/api/stable/api.min.js)
18:08:28	1168/1168	---M--	200	added ('OK')	image/png	etag:%2262bc6030-490%22	https://s.glbimg.com/gl/ba/img/images-s758fbcb793.png	C:/Meus%20Sites/wdadadad/s.glbimg.com/gl/ba/img/images-s758fbcb793.png	(from https://s.glbimg.com/gl/ba/css/barra-globocom.min.css)
